set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Magnificent Mavens,Witchcrafter Genni,0.14,Ultra Rare,1st Edition,Lightly Played,witchcrafter genni,magnificent mavens
25th Anniversary Rarity Collection,Knightmare Unicorn (UR),0.14,Ultra Rare,1st Edition,Lightly Played,knightmare unicorn ur,25th anniversary rarity collection
Magnificent Mavens,"Gashadokuro, the Skeletal Mayakashi",0.14,Ultra Rare,1st Edition,Lightly Played,gashadokuro the skeletal mayakashi,magnificent mavens
25th Anniversary Rarity Collection,Chaos Space (UR),0.14,Ultra Rare,1st Edition,Lightly Played,chaos space ur,25th anniversary rarity collection
Duel Power,Shaddoll Construct,0.14,Ultra Rare,Unlimited,Lightly Played,shaddoll construct,duel power
Flames of Destruction,F.A. Winners,0.14,Rare,Unlimited,Near Mint,fa winners,flames of destruction
25th Anniversary Rarity Collection,Galaxy-Eyes Afterglow Dragon (UR),0.14,Ultra Rare,1st Edition,Near Mint,galaxyeyes afterglow dragon ur,25th anniversary rarity collection
Magnificent Mavens,Scapegoat,0.13,Ultra Rare,1st Edition,Moderately Played,scapegoat,magnificent mavens
25th Anniversary Rarity Collection,Ice Dragon's Prison,0.13,Super Rare,1st Edition,Lightly Played,ice dragons prison,25th anniversary rarity collection
Magnificent Mavens,"Dakki, the Graceful Mayakashi",0.13,Ultra Rare,1st Edition,Moderately Played,dakki the graceful mayakashi,magnificent mavens
Duel Power,Xyz Change Tactics,0.13,Ultra Rare,Unlimited,Moderately Played,xyz change tactics,duel power
Flames of Destruction,Gouki The Master Ogre,0.13,Super Rare,Unlimited,Moderately Played,gouki the master ogre,flames of destruction
Duel Devastator,Vanity's Fiend,0.13,Ultra Rare,1st Edition,Heavily Played,vanitys fiend,duel devastator
25th Anniversary Rarity Collection,Knightmare Unicorn (Alternate Art) (UR),0.13,Ultra Rare,1st Edition,Lightly Played,knightmare unicorn alternate art ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Time Thief Redoer,0.13,Super Rare,1st Edition,Near Mint,time thief redoer,25th anniversary rarity collection
Flames of Destruction,World Legacy's Sorrow,0.13,Super Rare,Unlimited,Moderately Played,world legacys sorrow,flames of destruction
25th Anniversary Rarity Collection,Decode Talker Heatsoul (UR),0.13,Ultra Rare,1st Edition,Lightly Played,decode talker heatsoul ur,25th anniversary rarity collection
Shadows in Valhalla,White Dragon Ninja,0.13,Super Rare,1st Edition,Heavily Played,white dragon ninja,shadows in valhalla
Duel Power,Draw of Fate,0.13,Ultra Rare,Unlimited,Near Mint,draw of fate,duel power
