set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Shadows in Valhalla,Ash Blossom & Joyous Spring,0.75,Super Rare,1st Edition,Heavily Played,ash blossom  joyous spring,shadows in valhalla
Shadows in Valhalla,Ride of the Valkyries,0.75,Secret Rare,1st Edition,Heavily Played,ride of the valkyries,shadows in valhalla
25th Anniversary Rarity Collection,Pot of Prosperity (Secret Rare),0.75,Secret Rare,1st Edition,Heavily Played,pot of prosperity secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Desires (PCR),0.75,Prismatic Collector's Rare,1st Edition,Moderately Played,pot of desires pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Vision HERO Faris (Quarter Century Secret Rare),0.75,Quarter Century Secret Rare,1st Edition,Damaged,vision hero faris quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blue-Eyes Abyss Dragon (PUR),0.75,Prismatic Ultimate Rare,1st Edition,Lightly Played,blueeyes abyss dragon pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fossil Dig (Quarter Century Secret Rare),0.75,Quarter Century Secret Rare,1st Edition,Damaged,fossil dig quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Egyptian God Slime (PCR),0.75,Prismatic Collector's Rare,1st Edition,Moderately Played,egyptian god slime pcr,25th anniversary rarity collection
Magnificent Mavens,Knightmare Cerberus,0.74,Ultra Rare,1st Edition,Near Mint,knightmare cerberus,magnificent mavens
25th Anniversary Rarity Collection,Borreload Savage Dragon (PUR),0.73,Prismatic Ultimate Rare,1st Edition,Lightly Played,borreload savage dragon pur,25th anniversary rarity collection
Duel Power,Trickstar Foxglove Witch,0.71,Ultra Rare,1st Edition,Lightly Played,trickstar foxglove witch,duel power
Duel Power,Crystal Wing Synchro Dragon,0.7,Ultra Rare,Unlimited,Lightly Played,crystal wing synchro dragon,duel power
Magnificent Mavens,Toadally Awesome,0.7,Ultra Rare,1st Edition,Near Mint,toadally awesome,magnificent mavens
25th Anniversary Rarity Collection,Evenly Matched (UR),0.7,Ultra Rare,1st Edition,Moderately Played,evenly matched ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Desires (Platinum Secret Rare),0.7,Platinum Secret Rare,1st Edition,Moderately Played,pot of desires platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Knightmare Unicorn (Alternate Art) (PCR),0.69,Prismatic Collector's Rare,1st Edition,Lightly Played,knightmare unicorn alternate art pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pre-Preparation of Rites (PUR),0.69,Prismatic Ultimate Rare,1st Edition,Heavily Played,prepreparation of rites pur,25th anniversary rarity collection
Duel Power,Evenly Matched,0.69,Ultra Rare,1st Edition,Damaged,evenly matched,duel power
25th Anniversary Rarity Collection,Knightmare Unicorn (PCR),0.69,Prismatic Collector's Rare,1st Edition,Near Mint,knightmare unicorn pcr,25th anniversary rarity collection
Duel Devastator,Called by the Grave,0.69,Ultra Rare,1st Edition,Heavily Played,called by the grave,duel devastator
Duel Power,Nekroz of Valkyrus,0.68,Ultra Rare,Unlimited,Lightly Played,nekroz of valkyrus,duel power
25th Anniversary Rarity Collection,Ice Dragon's Prison (PUR),0.68,Prismatic Ultimate Rare,1st Edition,Near Mint,ice dragons prison pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,The Iris Swordsoul (Platinum Secret Rare),0.68,Platinum Secret Rare,1st Edition,Lightly Played,the iris swordsoul platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Striker Dragon (Platinum Secret Rare),0.68,Platinum Secret Rare,1st Edition,Lightly Played,striker dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Borreload Savage Dragon (PCR),0.67,Prismatic Collector's Rare,1st Edition,Lightly Played,borreload savage dragon pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Harpie's Feather Storm (Secret Rare),0.67,Secret Rare,1st Edition,Near Mint,harpies feather storm secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fossil Dig (PUR),0.66,Prismatic Ultimate Rare,1st Edition,Near Mint,fossil dig pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blue-Eyes Abyss Dragon (PCR),0.66,Prismatic Collector's Rare,1st Edition,Lightly Played,blueeyes abyss dragon pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Galaxy-Eyes Full Armor Photon Dragon (Platinum Secret Rare),0.65,Platinum Secret Rare,1st Edition,Near Mint,galaxyeyes full armor photon dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Time Thief Redoer (Platinum Secret Rare),0.65,Platinum Secret Rare,1st Edition,Near Mint,time thief redoer platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Artifact Lancea (PUR),0.64,Prismatic Ultimate Rare,1st Edition,Heavily Played,artifact lancea pur,25th anniversary rarity collection
Duel Power,Photon Advancer,0.62,Ultra Rare,Unlimited,Near Mint,photon advancer,duel power
25th Anniversary Rarity Collection,Magician's Salvation (PUR),0.61,Prismatic Ultimate Rare,1st Edition,Near Mint,magicians salvation pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Downerd Magician (PCR),0.6,Prismatic Collector's Rare,1st Edition,Near Mint,downerd magician pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Compulsory Evacuation Device (Secret Rare),0.6,Secret Rare,1st Edition,Near Mint,compulsory evacuation device secret rare,25th anniversary rarity collection
Duel Power,Ghost Belle & Haunted Mansion,0.59,Ultra Rare,1st Edition,Heavily Played,ghost belle  haunted mansion,duel power
25th Anniversary Rarity Collection,Dogmatika Punishment (PCR),0.59,Prismatic Collector's Rare,1st Edition,Lightly Played,dogmatika punishment pcr,25th anniversary rarity collection
Duel Devastator,Ghost Belle & Haunted Mansion,0.59,Ultra Rare,1st Edition,Heavily Played,ghost belle  haunted mansion,duel devastator
Duel Power,Galaxy Soldier,0.59,Ultra Rare,Unlimited,Lightly Played,galaxy soldier,duel power
25th Anniversary Rarity Collection,Ice Dragon's Prison (Platinum Secret Rare),0.59,Platinum Secret Rare,1st Edition,Lightly Played,ice dragons prison platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Time Thief Redoer (PUR),0.59,Prismatic Ultimate Rare,1st Edition,Lightly Played,time thief redoer pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Nibiru, the Primal Being (UR)",0.59,Ultra Rare,1st Edition,Heavily Played,nibiru the primal being ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax (Platinum Secret Rare),0.59,Platinum Secret Rare,1st Edition,Lightly Played,mekkknight crusadia avramax platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Danger!? Jackalope? (PCR),0.59,Prismatic Collector's Rare,1st Edition,Lightly Played,danger jackalope pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fossil Dig (PCR),0.57,Prismatic Collector's Rare,1st Edition,Lightly Played,fossil dig pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Red-Eyes Flare Metal Dragon (Secret Rare),0.56,Secret Rare,1st Edition,Lightly Played,redeyes flare metal dragon secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ice Dragon's Prison (PCR),0.56,Prismatic Collector's Rare,1st Edition,Near Mint,ice dragons prison pcr,25th anniversary rarity collection
Duel Power,Hot Red Dragon Archfiend Abyss,0.56,Ultra Rare,1st Edition,Damaged,hot red dragon archfiend abyss,duel power
25th Anniversary Rarity Collection,Herald of the Arc Light (PUR),0.55,Prismatic Ultimate Rare,1st Edition,Damaged,herald of the arc light pur,25th anniversary rarity collection
Duel Devastator,Royal Decree,0.55,Ultra Rare,1st Edition,Heavily Played,royal decree,duel devastator
25th Anniversary Rarity Collection,Small World (PCR),0.55,Prismatic Collector's Rare,1st Edition,Damaged,small world pcr,25th anniversary rarity collection
Magnificent Mavens,Sky Striker Ace - Kagari,0.55,Ultra Rare,1st Edition,Moderately Played,sky striker ace  kagari,magnificent mavens
25th Anniversary Rarity Collection,Reasoning (PCR),0.54,Prismatic Collector's Rare,1st Edition,Lightly Played,reasoning pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Artemis, the Magistus Moon Maiden (Platinum Secret Rare)",0.54,Platinum Secret Rare,1st Edition,Lightly Played,artemis the magistus moon maiden platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dogmatika Punishment (Platinum Secret Rare),0.54,Platinum Secret Rare,1st Edition,Moderately Played,dogmatika punishment platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Swordsoul Grandmaster - Chixiao,0.53,Ultra Rare,1st Edition,Near Mint,swordsoul grandmaster  chixiao,magnificent mavens
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Alternate Art) (PCR),0.53,Prismatic Collector's Rare,1st Edition,Near Mint,eldlich the golden lord alternate art pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Effect Veiler,0.53,Super Rare,1st Edition,Moderately Played,effect veiler,25th anniversary rarity collection
Duel Power,Eternal Soul,0.53,Ultra Rare,Unlimited,Near Mint,eternal soul,duel power
25th Anniversary Rarity Collection,Mudragon of the Swamp (Platinum Secret Rare),0.52,Platinum Secret Rare,1st Edition,Damaged,mudragon of the swamp platinum secret rare,25th anniversary rarity collection
Flames of Destruction,Knightmare Cerberus,0.52,Super Rare,1st Edition,Damaged,knightmare cerberus,flames of destruction
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Platinum Secret Rare),0.52,Platinum Secret Rare,1st Edition,Lightly Played,eldlich the golden lord platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Magician's Salvation (PCR),0.52,Prismatic Collector's Rare,1st Edition,Near Mint,magicians salvation pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Downerd Magician (PUR),0.52,Prismatic Ultimate Rare,1st Edition,Near Mint,downerd magician pur,25th anniversary rarity collection
Shadows in Valhalla,Outer Entity Nyarla,0.51,Secret Rare,1st Edition,Heavily Played,outer entity nyarla,shadows in valhalla
25th Anniversary Rarity Collection,The Iris Swordsoul (PUR),0.51,Prismatic Ultimate Rare,1st Edition,Near Mint,the iris swordsoul pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Summon Limit (PCR),0.51,Prismatic Collector's Rare,1st Edition,Near Mint,summon limit pcr,25th anniversary rarity collection
Magnificent Mavens,Swordsoul of Mo Ye,0.51,Ultra Rare,1st Edition,Near Mint,swordsoul of mo ye,magnificent mavens
25th Anniversary Rarity Collection,Eldlich the Golden Lord (PCR),0.51,Prismatic Collector's Rare,1st Edition,Near Mint,eldlich the golden lord pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax (PUR),0.51,Prismatic Ultimate Rare,1st Edition,Lightly Played,mekkknight crusadia avramax pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Decode Talker Heatsoul (Platinum Secret Rare),0.5,Platinum Secret Rare,1st Edition,Moderately Played,decode talker heatsoul platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Millennium-Eyes Restrict,0.5,Ultra Rare,1st Edition,Damaged,millenniumeyes restrict,magnificent mavens
25th Anniversary Rarity Collection,Baronne de Fleur (Secret Rare),0.5,Secret Rare,1st Edition,Damaged,baronne de fleur secret rare,25th anniversary rarity collection
Shadows in Valhalla,Akashic Magician,0.5,Super Rare,1st Edition,Heavily Played,akashic magician,shadows in valhalla
Shadows in Valhalla,Invocation,0.5,Super Rare,1st Edition,Damaged,invocation,shadows in valhalla
25th Anniversary Rarity Collection,Borreload Savage Dragon (Platinum Secret Rare),0.5,Platinum Secret Rare,1st Edition,Moderately Played,borreload savage dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Change of Heart (Secret Rare),0.5,Secret Rare,1st Edition,Moderately Played,change of heart secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Decode Talker Heatsoul (PUR),0.5,Prismatic Ultimate Rare,1st Edition,Lightly Played,decode talker heatsoul pur,25th anniversary rarity collection
Duel Devastator,Effect Veiler,0.5,Ultra Rare,1st Edition,Heavily Played,effect veiler,duel devastator
25th Anniversary Rarity Collection,Fallen of Albaz (PUR),0.5,Prismatic Ultimate Rare,1st Edition,Damaged,fallen of albaz pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Inspector Boarder (Platinum Secret Rare),0.5,Platinum Secret Rare,1st Edition,Lightly Played,inspector boarder platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dark Ruler No More (Secret Rare),0.5,Secret Rare,1st Edition,Damaged,dark ruler no more secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Nadir Servant (UR),0.5,Ultra Rare,1st Edition,Damaged,nadir servant ur,25th anniversary rarity collection
Duel Power,The Winged Dragon of Ra - Sphere Mode,0.5,Ultra Rare,1st Edition,Heavily Played,the winged dragon of ra  sphere mode,duel power
Duel Power,Elemental HERO Grandmerge,0.5,Ultra Rare,1st Edition,Damaged,elemental hero grandmerge,duel power
Duel Power,Stardust Dragon,0.5,Ultra Rare,Limited,Heavily Played,stardust dragon,duel power
25th Anniversary Rarity Collection,Galaxy-Eyes Full Armor Photon Dragon (PUR),0.49,Prismatic Ultimate Rare,1st Edition,Lightly Played,galaxyeyes full armor photon dragon pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Herald of the Arc Light (PCR),0.49,Prismatic Collector's Rare,1st Edition,Moderately Played,herald of the arc light pcr,25th anniversary rarity collection
Duel Devastator,Black Rose Dragon,0.49,Ultra Rare,1st Edition,Moderately Played,black rose dragon,duel devastator
Shadows in Valhalla,Aleister the Invoker of Madness,0.49,Secret Rare,1st Edition,Damaged,aleister the invoker of madness,shadows in valhalla
25th Anniversary Rarity Collection,Called by the Grave (UR),0.49,Ultra Rare,1st Edition,Moderately Played,called by the grave ur,25th anniversary rarity collection
Shadows in Valhalla,Gem-Knight Seraphinite,0.48,Secret Rare,1st Edition,Heavily Played,gemknight seraphinite,shadows in valhalla
Duel Power,Naturia Beast,0.48,Ultra Rare,1st Edition,Moderately Played,naturia beast,duel power
Shadows in Valhalla,Yellow Ninja,0.48,Super Rare,1st Edition,Near Mint,yellow ninja,shadows in valhalla
25th Anniversary Rarity Collection,Number 100: Numeron Dragon (PUR),0.48,Prismatic Ultimate Rare,1st Edition,Near Mint,number 100 numeron dragon pur,25th anniversary rarity collection
Magnificent Mavens,Skill Drain,0.48,Ultra Rare,1st Edition,Moderately Played,skill drain,magnificent mavens
25th Anniversary Rarity Collection,"Cherubini, Ebon Angel of the Burning Abyss (PUR)",0.48,Prismatic Ultimate Rare,1st Edition,Lightly Played,cherubini ebon angel of the burning abyss pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax (PCR),0.47,Prismatic Collector's Rare,1st Edition,Moderately Played,mekkknight crusadia avramax pcr,25th anniversary rarity collection
Duel Devastator,"Brionac, Dragon of the Ice Barrier",0.47,Ultra Rare,1st Edition,Lightly Played,brionac dragon of the ice barrier,duel devastator
Flames of Destruction,Super Team Buddy Force Unite!,0.47,Secret Rare,Unlimited,Lightly Played,super team buddy force unite,flames of destruction
25th Anniversary Rarity Collection,Ancient Fairy Dragon (PUR),0.47,Prismatic Ultimate Rare,1st Edition,Damaged,ancient fairy dragon pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Striker Dragon (PUR),0.47,Prismatic Ultimate Rare,1st Edition,Lightly Played,striker dragon pur,25th anniversary rarity collection
Duel Devastator,Artifact Lancea,0.47,Ultra Rare,1st Edition,Heavily Played,artifact lancea,duel devastator
Flames of Destruction,Called by the Grave,0.46,Common / Short Print,Unlimited,Heavily Played,called by the grave,flames of destruction
25th Anniversary Rarity Collection,Mudragon of the Swamp (Secret Rare),0.46,Secret Rare,1st Edition,Moderately Played,mudragon of the swamp secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Vision HERO Faris (PCR),0.46,Prismatic Collector's Rare,1st Edition,Lightly Played,vision hero faris pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Galaxy-Eyes Afterglow Dragon (PUR),0.46,Prismatic Ultimate Rare,1st Edition,Lightly Played,galaxyeyes afterglow dragon pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Wynn the Wind Channeler (Platinum Secret Rare),0.46,Platinum Secret Rare,1st Edition,Near Mint,wynn the wind channeler platinum secret rare,25th anniversary rarity collection
Duel Power,Dark Magical Circle,0.45,Ultra Rare,1st Edition,Damaged,dark magical circle,duel power
25th Anniversary Rarity Collection,The Winged Dragon of Ra - Sphere Mode (PUR),0.45,Prismatic Ultimate Rare,1st Edition,Damaged,the winged dragon of ra  sphere mode pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Alternate Art) (PUR),0.45,Prismatic Ultimate Rare,1st Edition,Near Mint,eldlich the golden lord alternate art pur,25th anniversary rarity collection
Magnificent Mavens,Secret Village of the Spellcasters,0.45,Ultra Rare,1st Edition,Damaged,secret village of the spellcasters,magnificent mavens
Magnificent Mavens,Mezuki,0.45,Ultra Rare,1st Edition,Moderately Played,mezuki,magnificent mavens
Magnificent Mavens,Change of Heart,0.45,Ultra Rare,1st Edition,Damaged,change of heart,magnificent mavens
25th Anniversary Rarity Collection,Junk Speeder (Platinum Secret Rare),0.45,Platinum Secret Rare,1st Edition,Lightly Played,junk speeder platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Galaxy-Eyes Full Armor Photon Dragon (PCR),0.44,Prismatic Collector's Rare,1st Edition,Lightly Played,galaxyeyes full armor photon dragon pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Predaplant Dragostapelia (Secret Rare),0.44,Secret Rare,1st Edition,Near Mint,predaplant dragostapelia secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lonefire Blossom (Secret Rare),0.44,Secret Rare,1st Edition,Lightly Played,lonefire blossom secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ice Barrier (PUR),0.43,Prismatic Ultimate Rare,1st Edition,Lightly Played,ice barrier pur,25th anniversary rarity collection
Flames of Destruction,Network Trap Hole,0.43,Ultra Rare,Unlimited,Lightly Played,network trap hole,flames of destruction
25th Anniversary Rarity Collection,Decode Talker Heatsoul (PCR),0.42,Prismatic Collector's Rare,1st Edition,Near Mint,decode talker heatsoul pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghostrick Angel of Mischief (PUR),0.42,Prismatic Ultimate Rare,1st Edition,Near Mint,ghostrick angel of mischief pur,25th anniversary rarity collection
Magnificent Mavens,D/D Savant Kepler,0.41,Ultra Rare,1st Edition,Lightly Played,dd savant kepler,magnificent mavens
25th Anniversary Rarity Collection,"Selene, Queen of the Master Magicians (PUR)",0.4,Prismatic Ultimate Rare,1st Edition,Damaged,selene queen of the master magicians pur,25th anniversary rarity collection
Magnificent Mavens,Sky Striker Mecha Modules - Multirole,0.4,Ultra Rare,1st Edition,Near Mint,sky striker mecha modules  multirole,magnificent mavens
Magnificent Mavens,Metal Reflect Slime,0.4,Ultra Rare,1st Edition,Damaged,metal reflect slime,magnificent mavens
25th Anniversary Rarity Collection,Shaddoll Schism (PCR),0.4,Prismatic Collector's Rare,1st Edition,Near Mint,shaddoll schism pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Galaxy-Eyes Afterglow Dragon (Platinum Secret Rare),0.4,Platinum Secret Rare,1st Edition,Lightly Played,galaxyeyes afterglow dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ancient Fairy Dragon (Secret Rare),0.4,Secret Rare,1st Edition,Damaged,ancient fairy dragon secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lava Golem (Secret Rare),0.4,Secret Rare,1st Edition,Damaged,lava golem secret rare,25th anniversary rarity collection
Duel Power,Harpie Dancer,0.4,Ultra Rare,Unlimited,Lightly Played,harpie dancer,duel power
Duel Power,Hieratic Seal of the Heavenly Spheres,0.4,Ultra Rare,1st Edition,Damaged,hieratic seal of the heavenly spheres,duel power
Duel Power,Bond Between Teacher and Student,0.4,Ultra Rare,Unlimited,Damaged,bond between teacher and student,duel power
25th Anniversary Rarity Collection,Lightning Storm (UR),0.4,Ultra Rare,1st Edition,Heavily Played,lightning storm ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Alpha, the Master of Beasts (Platinum Secret Rare)",0.39,Platinum Secret Rare,1st Edition,Lightly Played,alpha the master of beasts platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Harpie's Feather Storm (PUR),0.39,Prismatic Ultimate Rare,1st Edition,Moderately Played,harpies feather storm pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Cyber Angel Benten (PUR),0.39,Prismatic Ultimate Rare,1st Edition,Near Mint,cyber angel benten pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Inspector Boarder (PCR),0.39,Prismatic Collector's Rare,1st Edition,Lightly Played,inspector boarder pcr,25th anniversary rarity collection
Duel Power,Linkuriboh,0.39,Ultra Rare,Unlimited,Damaged,linkuriboh,duel power
25th Anniversary Rarity Collection,"Alpha, the Master of Beasts (PUR)",0.39,Prismatic Ultimate Rare,1st Edition,Lightly Played,alpha the master of beasts pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Small World (Secret Rare),0.39,Secret Rare,1st Edition,Lightly Played,small world secret rare,25th anniversary rarity collection
Duel Power,Zaborg the Mega Monarch,0.38,Ultra Rare,1st Edition,Damaged,zaborg the mega monarch,duel power
Magnificent Mavens,Agido the Ancient Sentinel,0.38,Ultra Rare,1st Edition,Lightly Played,agido the ancient sentinel,magnificent mavens
Magnificent Mavens,Gozen Match,0.38,Ultra Rare,1st Edition,Moderately Played,gozen match,magnificent mavens
Duel Devastator,Scarlight Red Dragon Archfiend,0.38,Ultra Rare,1st Edition,Heavily Played,scarlight red dragon archfiend,duel devastator
25th Anniversary Rarity Collection,Galaxy-Eyes Afterglow Dragon (Secret Rare),0.37,Secret Rare,1st Edition,Near Mint,galaxyeyes afterglow dragon secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Magician's Salvation (Secret Rare),0.37,Secret Rare,1st Edition,Near Mint,magicians salvation secret rare,25th anniversary rarity collection
Duel Power,Odd-Eyes Advance Dragon,0.37,Ultra Rare,Unlimited,Heavily Played,oddeyes advance dragon,duel power
25th Anniversary Rarity Collection,The Winged Dragon of Ra - Sphere Mode,0.37,Super Rare,1st Edition,Moderately Played,the winged dragon of ra  sphere mode,25th anniversary rarity collection
Magnificent Mavens,Shadow-Imprisoning Mirror,0.36,Ultra Rare,1st Edition,Moderately Played,shadowimprisoning mirror,magnificent mavens
25th Anniversary Rarity Collection,Number 100: Numeron Dragon (PCR),0.36,Prismatic Collector's Rare,1st Edition,Near Mint,number 100 numeron dragon pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ghostrick Angel of Mischief (PCR),0.36,Prismatic Collector's Rare,1st Edition,Lightly Played,ghostrick angel of mischief pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dogmatika Punishment (Secret Rare),0.36,Secret Rare,1st Edition,Lightly Played,dogmatika punishment secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimension Shifter (Secret Rare),0.36,Secret Rare,1st Edition,Near Mint,dimension shifter secret rare,25th anniversary rarity collection
Duel Power,Trickstar Magical Laurel,0.36,Ultra Rare,1st Edition,Damaged,trickstar magical laurel,duel power
Duel Power,Qliphort Genius,0.36,Ultra Rare,1st Edition,Lightly Played,qliphort genius,duel power
25th Anniversary Rarity Collection,Junk Speeder (PUR),0.35,Prismatic Ultimate Rare,1st Edition,Near Mint,junk speeder pur,25th anniversary rarity collection
Magnificent Mavens,Chaos Hunter,0.35,Ultra Rare,1st Edition,Moderately Played,chaos hunter,magnificent mavens
25th Anniversary Rarity Collection,Ancient Fairy Dragon (PCR),0.35,Prismatic Collector's Rare,1st Edition,Damaged,ancient fairy dragon pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Extravagance (Secret Rare),0.35,Secret Rare,1st Edition,Heavily Played,pot of extravagance secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Small World (PUR),0.35,Prismatic Ultimate Rare,1st Edition,Damaged,small world pur,25th anniversary rarity collection
Duel Power,"Crowley, the First Propheseer",0.35,Ultra Rare,Unlimited,Lightly Played,crowley the first propheseer,duel power
25th Anniversary Rarity Collection,Magician's Salvation (UR),0.35,Ultra Rare,1st Edition,Near Mint,magicians salvation ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Wynn the Wind Channeler (PUR),0.35,Prismatic Ultimate Rare,1st Edition,Near Mint,wynn the wind channeler pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Chaos Space (PCR),0.35,Prismatic Collector's Rare,1st Edition,Near Mint,chaos space pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Extravagance,0.35,Super Rare,1st Edition,Moderately Played,pot of extravagance,25th anniversary rarity collection
Duel Devastator,Dimensional Barrier,0.35,Ultra Rare,1st Edition,Damaged,dimensional barrier,duel devastator
25th Anniversary Rarity Collection,Vision HERO Faris (PUR),0.35,Prismatic Ultimate Rare,1st Edition,Moderately Played,vision hero faris pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blackwing - Simoon the Poison Wind (PUR),0.35,Prismatic Ultimate Rare,1st Edition,Lightly Played,blackwing  simoon the poison wind pur,25th anniversary rarity collection
Duel Power,Chaos Form,0.34,Ultra Rare,Unlimited,Damaged,chaos form,duel power
Magnificent Mavens,"Dracoback, the Rideable Dragon",0.34,Ultra Rare,1st Edition,Near Mint,dracoback the rideable dragon,magnificent mavens
25th Anniversary Rarity Collection,Fossil Dig (Secret Rare),0.34,Secret Rare,1st Edition,Lightly Played,fossil dig secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Magicalized Fusion (Platinum Secret Rare),0.34,Platinum Secret Rare,1st Edition,Lightly Played,magicalized fusion platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Sky Striker Ace - Zeke,0.33,Ultra Rare,1st Edition,Near Mint,sky striker ace  zeke,magnificent mavens
25th Anniversary Rarity Collection,"Artemis, the Magistus Moon Maiden (PUR)",0.33,Prismatic Ultimate Rare,1st Edition,Lightly Played,artemis the magistus moon maiden pur,25th anniversary rarity collection
Duel Power,Predaplant Dragostapelia,0.33,Ultra Rare,Unlimited,Lightly Played,predaplant dragostapelia,duel power
25th Anniversary Rarity Collection,The Winged Dragon of Ra - Sphere Mode (Secret Rare),0.33,Secret Rare,1st Edition,Moderately Played,the winged dragon of ra  sphere mode secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Herald of the Arc Light (UR),0.32,Ultra Rare,1st Edition,Lightly Played,herald of the arc light ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Wynn the Wind Channeler (PCR),0.32,Prismatic Collector's Rare,1st Edition,Lightly Played,wynn the wind channeler pcr,25th anniversary rarity collection
Duel Power,El Shaddoll Construct,0.32,Ultra Rare,1st Edition,Near Mint,el shaddoll construct,duel power
25th Anniversary Rarity Collection,"Cherubini, Ebon Angel of the Burning Abyss (PCR)",0.32,Prismatic Collector's Rare,1st Edition,Lightly Played,cherubini ebon angel of the burning abyss pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimensional Barrier,0.32,Super Rare,1st Edition,Lightly Played,dimensional barrier,25th anniversary rarity collection
25th Anniversary Rarity Collection,Spellbook of Judgment (Platinum Secret Rare),0.32,Platinum Secret Rare,1st Edition,Near Mint,spellbook of judgment platinum secret rare,25th anniversary rarity collection
