set,name,variant,condition,rarity,price
2025-mega-pack-yugioh,Samsara D Lotus,1st Edition,Near Mint,Ultra Rare,0.25
2025-mega-pack-yugioh,Mementotlan Ghattic,1st Edition,Near Mint,Ultra Rare,0.23
2025-mega-pack-yugioh,Sinful Spoils of Slumber - Morrian,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Card of Safe Return,1st Edition,Near Mint,Ultra Rare,0.25
2025-mega-pack-yugioh,Dragon's Light and Darkness,1st Edition,Near Mint,Ultra Rare,0.22
2025-mega-pack-yugioh,Woes of the White Forest,1st Edition,Near Mint,Ultra Rare,0.13
2025-mega-pack-yugioh,Mimighoul Dragon,1st Edition,Near Mint,Ultra Rare,0.24
2025-mega-pack-yugioh,Aerial Eater,1st Edition,Near Mint,Ultra Rare,0.24
2025-mega-pack-yugioh,Rucia of the White Forest,1st Edition,Near Mint,Ultra Rare,0.24
2025-mega-pack-yugioh,Blessing of the Voiceless Voice,1st Edition,Near Mint,Ultra Rare,0.24
2025-mega-pack-yugioh,Mature Chronicle,1st Edition,Near Mint,Ultra Rare,0.24
2025-mega-pack-yugioh,Refrain the Melodious Songstress,1st Edition,Near Mint,Ultra Rare,0.24
2025-mega-pack-yugioh,Spirit of Yubel,1st Edition,Near Mint,Ultra Rare,0.23
2025-mega-pack-yugioh,Walls of the Imperial Tomb,1st Edition,Lightly Played,Ultra Rare,0.18
2025-mega-pack-yugioh,Apophis the Swamp Deity,1st Edition,Near Mint,Ultra Rare,0.23
2025-mega-pack-yugioh,Mimighoul Archfiend,1st Edition,Near Mint,Ultra Rare,0.22
2025-mega-pack-yugioh,"Diabell, Queen of the White Forest",1st Edition,Near Mint,Ultra Rare,0.22
2025-mega-pack-yugioh,Mimighoul Archfiend,1st Edition,Near Mint,Ultra Rare,0.22
2025-mega-pack-yugioh,Giant Mimighoul,1st Edition,Near Mint,Ultra Rare,0.21
2025-mega-pack-yugioh,Dora Dora,1st Edition,Near Mint,Ultra Rare,0.21
2025-mega-pack-yugioh,Number 2: Ninja Shadow Mosquito,1st Edition,Near Mint,Ultra Rare,0.21
2025-mega-pack-yugioh,Mimighoul Fairy,1st Edition,Near Mint,Ultra Rare,0.21
2025-mega-pack-yugioh,Tactical Trainer of the Six Samurai,1st Edition,Near Mint,Ultra Rare,0.21
2025-mega-pack-yugioh,Couplet the Melodious Songstress,1st Edition,Lightly Played,Ultra Rare,0.15
2025-mega-pack-yugioh,Goblin Biker Grand Bash,1st Edition,Near Mint,Common / Short Print,0.21
2025-mega-pack-yugioh,Number C101: Silent Honor DARK,1st Edition,Near Mint,Ultra Rare,0.21
2025-mega-pack-yugioh,Gouki Suprex,1st Edition,Lightly Played,Ultra Rare,0.05
2025-mega-pack-yugioh,Mementotlan Akihiron,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,"Obsidim, the Ashened City",1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Centur-Ion Atrii,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Gouki Re-Match,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Maiden of the Millennium Moon,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Goblin Biker Clatter Sploder,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Flipping Feline,1st Edition,Near Mint,Common / Short Print,0.2
2025-mega-pack-yugioh,"Abyssrhine, the Atlantean Spirit",1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Madolche Queen Tiarafraise,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Mimighoul Armor,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Red Familiar,1st Edition,Near Mint,Ultra Rare,0.2
2025-mega-pack-yugioh,Assault Synchron,1st Edition,Near Mint,Common / Short Print,0.19
2025-mega-pack-yugioh,Enlightenment Dragon,1st Edition,Near Mint,Ultra Rare,0.19
2025-mega-pack-yugioh,Obliterate!!! Blaze,1st Edition,Near Mint,Ultra Rare,0.19
2025-mega-pack-yugioh,Anarchist Monk of the Six Samurai,1st Edition,Near Mint,Ultra Rare,0.19
2025-mega-pack-yugioh,Ragnaraika Bloom,1st Edition,Near Mint,Ultra Rare,0.19
2025-mega-pack-yugioh,Pile Armed Dragon,1st Edition,Near Mint,Ultra Rare,0.19
2025-mega-pack-yugioh,Mimighoul Charm,1st Edition,Near Mint,Ultra Rare,0.19
2025-mega-pack-yugioh,Talons of Shurilane,1st Edition,Near Mint,Common / Short Print,0.18
2025-mega-pack-yugioh,Bacha the Melodious Maestra,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Danger! Bigfoot!,1st Edition,Near Mint,Prismatic Secret Rare,0.18
2025-mega-pack-yugioh,Enigmaster Packbit,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Fiend Reflection of the Millennium,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Goblin Biker Boom Mach,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Goblin Biker Grand Crisis,1st Edition,Near Mint,Common / Short Print,0.18
2025-mega-pack-yugioh,Goblin Biker Mean Merciless,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Legendary Lord Six Samurai - Enishi,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Master of Ham,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Mimighoul Room,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Susurrus of the Sinful Spoils,1st Edition,Near Mint,Ultra Rare,0.18
2025-mega-pack-yugioh,Zapper Shrimp,1st Edition,Near Mint,Common / Short Print,0.18
2025-mega-pack-yugioh,Abyss-sting Triaina,1st Edition,Near Mint,Ultra Rare,0.17
2025-mega-pack-yugioh,Mathmech Superfactorial,1st Edition,Near Mint,Ultra Rare,0.17
2025-mega-pack-yugioh,Elemental HERO Spirit of Neos,1st Edition,Near Mint,Ultra Rare,0.17
